Id,Label,modularity_class,Cluster,stat_inf_class,degree
MUSE_20180111_155115_19000.csv,MUSE_20180111_155115_19000.csv,2,101,32,13
MUSE_20180111_163106_44000.csv,MUSE_20180111_163106_44000.csv,2,101,32,13
MUSE_20180111_163412_52000.csv,MUSE_20180111_163412_52000.csv,2,101,32,14
MUSE_20180111_165514_67000.csv,MUSE_20180111_165514_67000.csv,2,101,32,15
MUSE_20180111_165518_88000.csv,MUSE_20180111_165518_88000.csv,2,101,32,13
MUSE_20180111_165510_38000.csv,MUSE_20180111_165510_38000.csv,2,101,32,13
MUSE_20180111_165331_91000.csv,MUSE_20180111_165331_91000.csv,2,101,32,13
MUSE_20180111_170146_87000.csv,MUSE_20180111_170146_87000.csv,2,101,32,14
MUSE_20180112_071515_33000.csv,MUSE_20180112_071515_33000.csv,2,101,32,15
MUSE_20180112_072300_78000.csv,MUSE_20180112_072300_78000.csv,2,101,32,13
MUSE_20180112_072558_20000.csv,MUSE_20180112_072558_20000.csv,2,11,32,20
MUSE_20180112_072902_78000.csv,MUSE_20180112_072902_78000.csv,2,101,32,12
MUSE_20180112_073038_47000.csv,MUSE_20180112_073038_47000.csv,2,101,32,13
MUSE_20180112_073056_06000.csv,MUSE_20180112_073056_06000.csv,2,101,32,14
MUSE_20180111_155154_74000.csv,MUSE_20180111_155154_74000.csv,2,11,32,40
MUSE_20180111_160037_37000.csv,MUSE_20180111_160037_37000.csv,2,11,32,50
MUSE_20180111_160052_85000.csv,MUSE_20180111_160052_85000.csv,2,11,32,52
MUSE_20180111_160433_26000.csv,MUSE_20180111_160433_26000.csv,2,11,32,51
MUSE_20180111_160516_89000.csv,MUSE_20180111_160516_89000.csv,2,11,32,41
MUSE_20180111_160457_24000.csv,MUSE_20180111_160457_24000.csv,2,11,32,38
MUSE_20180111_160720_58000.csv,MUSE_20180111_160720_58000.csv,2,11,32,40
MUSE_20180111_162929_35000.csv,MUSE_20180111_162929_35000.csv,2,11,32,52
MUSE_20180111_163135_68000.csv,MUSE_20180111_163135_68000.csv,2,11,32,34
MUSE_20180111_163416_73000.csv,MUSE_20180111_163416_73000.csv,2,11,32,52
MUSE_20180111_163507_87000.csv,MUSE_20180111_163507_87000.csv,2,11,32,33
MUSE_20180111_163358_14000.csv,MUSE_20180111_163358_14000.csv,2,11,32,32
MUSE_20180111_165647_12000.csv,MUSE_20180111_165647_12000.csv,2,11,32,33
MUSE_20180111_165705_74000.csv,MUSE_20180111_165705_74000.csv,2,11,32,53
MUSE_20180111_165513_61000.csv,MUSE_20180111_165513_61000.csv,2,11,32,37
MUSE_20180111_165602_42000.csv,MUSE_20180111_165602_42000.csv,2,11,32,34
MUSE_20180111_165817_64000.csv,MUSE_20180111_165817_64000.csv,2,11,32,37
MUSE_20180111_165849_80000.csv,MUSE_20180111_165849_80000.csv,2,11,32,52
MUSE_20180111_170243_72000.csv,MUSE_20180111_170243_72000.csv,2,11,32,44
MUSE_20180111_170200_21000.csv,MUSE_20180111_170200_21000.csv,2,11,32,37
MUSE_20180112_071252_34000.csv,MUSE_20180112_071252_34000.csv,2,11,32,32
MUSE_20180112_071426_49000.csv,MUSE_20180112_071426_49000.csv,2,11,32,52
MUSE_20180112_071843_36000.csv,MUSE_20180112_071843_36000.csv,2,11,32,32
MUSE_20180112_071849_66000.csv,MUSE_20180112_071849_66000.csv,2,11,32,31
MUSE_20180112_072023_92000.csv,MUSE_20180112_072023_92000.csv,2,11,32,34
MUSE_20180112_072235_69000.csv,MUSE_20180112_072235_69000.csv,2,11,32,44
MUSE_20180112_072239_97000.csv,MUSE_20180112_072239_97000.csv,2,11,32,53
MUSE_20180112_072315_14000.csv,MUSE_20180112_072315_14000.csv,2,11,32,32
MUSE_20180112_072322_62000.csv,MUSE_20180112_072322_62000.csv,2,11,32,52
MUSE_20180112_072355_86000.csv,MUSE_20180112_072355_86000.csv,2,11,32,54
MUSE_20180112_072431_96000.csv,MUSE_20180112_072431_96000.csv,2,11,32,52
MUSE_20180112_072629_46000.csv,MUSE_20180112_072629_46000.csv,2,11,32,52
MUSE_20180112_072650_19000.csv,MUSE_20180112_072650_19000.csv,2,11,32,40
MUSE_20180112_072726_51000.csv,MUSE_20180112_072726_51000.csv,2,11,32,38
